,Date,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS
0,2016-01-04,67.59,158.34,26.338,140.5,67.99,26.41,88.85,177.14,131.07,97.6468,129.8545,33.99,100.48,42.4,63.62,117.58,146.82,50.041000000000004,54.8,61.52,78.37,109.97,116.46,76.71,45.87,75.7,83.05,61.46,102.98
1,2016-01-05,66.55,158.17,25.678,141.07,67.28,26.29,89.61,174.09,130.43,98.4465,129.759,33.83,100.9,42.55,63.73,119.2,147.46,50.6799,55.05,62.38,78.62,110.47,116.68,77.05,46.5,76.27,80.87,62.92,100.9
2,2016-01-06,64.42,156.72,25.175,138.83,66.22,26.01,86.07,169.84,129.08,97.3326,129.1095,33.08,100.39,42.32,62.81,118.4,144.49,49.9838,54.05,61.49,77.86,109.04,115.49,76.29,45.52,75.27,79.63,63.55,100.36
3,2016-01-07,63.84,152.98,24.113000000000003,133.01,63.94,25.41,83.02,164.62,125.4,94.4671,126.9031,31.84,99.22,41.62,60.27,115.66,140.97,49.5452,52.17,59.85,77.18,106.44,112.09,74.3,45.27,73.79,81.17,65.03,99.5
4,2016-01-08,63.63,150.705,24.24,129.99,63.29,24.78,82.13,163.94,123.9,93.7055,125.7282,31.51,98.16,41.51,58.92,115.48,140.49,48.7061,52.33,58.87,75.97,105.99,110.16,73.23,44.83,72.88,81.05,63.54,99.25
5,2016-01-11,64.05,147.69,24.633000000000003,130.21,61.47,25.27,80.77,165.73,125.78,93.696,127.2565,32.06,97.57,41.58,58.83,116.69,140.46,48.8682,52.3,59.55,76.67,106.79,109.58,73.18,45.09,73.92,81.02,64.22,99.92
6,2016-01-12,64.4,150.79,24.99,131.92,61.6,25.35,82.15,165.71,127.49,94.41,126.9413,32.68,98.24,42.12,58.96,117.44,140.86,49.3545,52.78,59.94,76.51,107.98,112.26,74.46,44.93,74.76,81.82,63.62,101.46
7,2016-01-13,62.85,145.46,24.348000000000003,128.12,60.89,24.6,81.33,158.99,121.4,92.4394,125.2889,31.91,97.02,41.85,57.34,115.12,138.72,48.3056,51.64,58.78,75.85,106.06,109.23,72.35,44.15,73.1,79.93,61.92,98.48
8,2016-01-14,63.29,153.16,24.88,129.2,62.27,24.66,85.47,161.39,119.62,94.0006,126.9508,32.74,98.89,41.88,58.2,116.62,141.18,49.3926,53.11,58.51,76.15,106.98,110.76,73.07,44.87,73.8,81.87,63.06,99.11
9,2016-01-15,62.91,151.3,24.283,125.63,59.87,23.62,83.67,155.61,119.23,92.5917,124.2,29.76,97.0,41.5,57.04,115.18,138.69,48.7633,50.99,57.56,74.98,105.1,109.27,70.86,44.43,71.83,79.93,61.93,93.9
10,2016-01-19,62.64,151.3,24.165,126.06,59.03,23.85,81.51,156.82,119.76,92.6583,122.3661,29.8,97.5,41.92,57.01,117.5,138.39,48.95399999999999,50.56,58.32,76.73,105.76,112.58,70.8,44.87,71.39,80.7,62.56,93.97
11,2016-01-20,63.03,155.02,24.198,122.14,58.81,22.9,78.98,153.75,116.46,91.6206,116.3963,29.59,95.75,41.38,55.51,115.78,136.96,48.2007,50.79,59.04,75.83,103.65,114.79,70.33,44.42,70.68,79.45,60.84,92.54
12,2016-01-21,62.64,152.78,24.075,123.4,59.69,22.9,81.05,151.65,120.22,91.9443,117.3992,29.66,95.94,41.39,55.25,117.84,137.76,48.5535,50.48,60.56,76.72,102.7,113.5,69.51,45.87,71.56,78.98,61.88,94.02
13,2016-01-22,55.06,156.08,25.355,124.61,60.98,23.37,83.54,156.86,122.76,93.1248,117.0076,29.925,96.75,42.06,56.95,118.4,139.52,48.9636,52.29,60.88,77.36,103.14,114.33,71.55,47.04,72.7,80.84,62.69,96.9
14,2016-01-25,55.02,153.43,24.86,124.01,57.91,23.17,80.89,151.12,121.71,91.8491,116.6064,29.6,96.4,42.16,55.66,119.2,137.57,48.5535,51.79,60.7,76.85,102.08,113.38,69.92,47.03,71.74,78.71,63.45,95.29
15,2016-01-26,55.09,153.78,24.998,128.01,59.16,23.72,84.12,154.45,122.2,93.7817,117.0936,29.94,101.18,42.08,57.08,120.43,144.78,49.0589,52.17,61.11,78.81,103.25,113.96,69.87,48.25,71.88,79.44,64.0,96.27
16,2016-01-27,54.52,150.47,23.355,116.58,58.32,23.43,83.29,153.72,121.57,92.3061,115.5366,29.81,102.16,42.09,57.04,120.87,145.55,48.0291,51.22,59.58,78.8,103.31,112.33,67.43,49.03,70.91,78.45,63.95,94.32
17,2016-01-28,52.88,148.35,23.523000000000003,118.01,61.08,23.105,85.92,157.06,122.28,93.2676,116.7401,29.97,102.27,42.57,57.28,122.38,147.32,46.9135,52.055,61.2,79.82,104.47,111.38,65.69,49.01,69.33,77.61,64.22,93.53
18,2016-01-29,53.5,152.73,24.335,120.13,62.24,23.79,86.47,161.56,125.76,98.2466,119.1949,31.02,104.44,42.92,59.5,123.78,151.0,48.3152,55.09,62.01,81.69,107.04,115.16,68.06,49.97,74.49,79.72,66.36,95.82
19,2016-02-01,54.7,152.75,24.108,121.56,62.7,23.48,85.29,159.65,126.51,97.9419,119.2331,30.82,104.37,43.0,58.86,124.61,148.73,48.3914,54.71,63.16,81.12,107.01,115.89,68.44,50.76,74.38,80.07,67.5,95.15
20,2016-02-02,53.66,150.11,23.62,117.52,60.67,22.83,81.24,151.7,125.27,95.8285,117.4279,29.8,103.41,42.44,57.03,123.95,147.87,48.0672,53.0,62.55,80.22,106.03,113.88,64.52,49.91,73.4,78.0,66.86,93.12
21,2016-02-03,54.11,150.69,24.088,121.87,63.27,23.1,84.62,152.68,123.79,97.2565,119.1281,29.34,104.14,42.72,57.41,121.47,152.52,47.724,52.16,62.49,81.1,106.89,112.75,65.34,50.62,74.38,76.81,66.27,95.14
22,2016-02-04,54.38,149.91,24.15,123.61,65.96,23.54,84.79,156.49,121.11,97.6278,121.9267,29.77,103.9,42.53,58.4,120.66,153.44,46.3318,52.0,60.17,80.7,107.49,114.2,67.2,50.43,73.68,77.19,66.42,95.43
23,2016-02-05,53.98,145.04,23.505,122.56,66.12,22.89,82.88,156.47,116.43,97.2279,122.8054,29.04,100.54,42.44,57.75,115.4,153.47,47.0851,50.16,57.17,81.2,106.29,111.72,58.51,50.97,71.54,75.2,67.0,93.9
24,2016-02-08,52.4,143.0,23.753,119.47,64.58,22.93,85.99,149.25,111.85,96.6567,121.2867,28.82,102.0,42.65,56.54,116.05,153.9,46.5607,49.41,55.04,82.62,105.6,110.02,54.05,50.74,67.77,72.91,66.9,92.12
25,2016-02-09,52.63,143.16,23.748,118.88,63.93,22.65,82.92,148.25,113.86,97.7896,118.5072,28.81,101.97,43.3,56.2,117.01,154.74,46.8753,49.28,55.68,82.64,105.92,111.16,57.33,50.15,68.33,74.93,65.81,92.32
26,2016-02-10,52.29,144.81,23.568,116.36,62.14,22.51,83.04,147.23,114.33,97.6754,114.8012,28.23,101.73,42.55,55.52,117.54,152.45,47.2281,49.71,57.41,81.62,105.72,112.74,58.76,49.98,70.15,76.01,65.79,88.85
27,2016-02-11,51.11,141.46,23.425,108.44,61.41,24.68,82.99,140.69,113.27,96.6662,112.5661,28.22,101.7,42.41,53.07,116.73,150.67,46.5797,49.69,56.0,79.9,103.77,110.62,59.24,49.39,68.47,75.53,65.32,90.31
