Date,Equity Value,Equity Momentum,Equity Carry,Rates Value,Rates Momentum,Rates Carry,Currency Value,Currency Momentum,Currency Carry,Commodity Value,Commodity Momentum,Commodity Carry
1974-03-31,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 
1974-04-30,105.42 ,101.39 ,94.98 ,100.24 ,99.29 ,99.54 ,97.79 ,103.93 ,97.87 ,89.68 ,120.79 ,116.63 
1974-05-31,90.42 ,86.49 ,96.93 ,103.54 ,95.53 ,97.31 ,99.80 ,101.68 ,99.31 ,82.05 ,128.13 ,128.11 
1974-06-28,90.24 ,87.86 ,98.13 ,106.05 ,93.22 ,98.53 ,100.64 ,101.17 ,99.91 ,88.69 ,124.01 ,122.63 
1974-07-31,95.55 ,93.21 ,97.23 ,105.49 ,94.38 ,97.82 ,100.12 ,104.19 ,98.30 ,96.33 ,103.95 ,122.98 
1974-08-30,96.73 ,98.34 ,96.00 ,107.75 ,93.11 ,100.20 ,100.73 ,103.73 ,98.90 ,80.88 ,125.90 ,132.95 
1974-09-30,94.37 ,102.86 ,95.64 ,109.68 ,93.07 ,101.51 ,101.28 ,103.64 ,99.44 ,75.18 ,126.65 ,145.80 
1974-10-31,94.81 ,100.82 ,101.46 ,110.48 ,94.39 ,101.00 ,98.69 ,103.59 ,98.20 ,65.60 ,144.39 ,156.61 
1974-11-29,94.73 ,113.68 ,94.26 ,113.26 ,96.43 ,105.14 ,94.07 ,103.38 ,96.63 ,61.12 ,153.07 ,161.90 
1974-12-31,95.38 ,111.33 ,94.44 ,114.63 ,97.90 ,106.32 ,92.36 ,105.67 ,95.88 ,62.48 ,152.96 ,160.37 
1975-01-31,113.84 ,84.26 ,104.06 ,117.63 ,97.45 ,109.20 ,92.67 ,105.87 ,95.65 ,72.41 ,150.23 ,173.64 
1975-02-28,117.14 ,76.98 ,106.04 ,119.25 ,96.57 ,107.80 ,92.27 ,107.36 ,96.67 ,81.40 ,135.63 ,163.70 
1975-03-31,117.04 ,76.07 ,108.62 ,121.63 ,95.54 ,108.95 ,93.49 ,105.33 ,97.62 ,81.79 ,127.06 ,154.96 
1975-04-30,126.91 ,72.92 ,111.68 ,121.96 ,95.70 ,109.74 ,93.69 ,106.33 ,98.09 ,94.71 ,114.55 ,132.87 
1975-05-30,127.06 ,72.49 ,112.05 ,121.30 ,96.09 ,109.32 ,93.40 ,107.91 ,97.76 ,106.26 ,107.32 ,123.56 
1975-06-30,121.60 ,72.46 ,116.70 ,122.83 ,97.08 ,108.41 ,92.74 ,108.88 ,97.52 ,112.13 ,104.47 ,117.45 
1975-07-31,123.25 ,72.78 ,120.95 ,122.77 ,96.54 ,108.81 ,92.19 ,102.70 ,98.93 ,99.69 ,99.37 ,117.24 
1975-08-29,130.54 ,75.46 ,118.55 ,123.47 ,96.96 ,109.33 ,92.17 ,103.33 ,98.80 ,101.10 ,98.64 ,115.14 
1975-09-30,131.31 ,79.50 ,118.52 ,124.35 ,98.18 ,109.90 ,91.81 ,102.80 ,99.09 ,108.44 ,105.46 ,122.72 
1975-10-31,130.55 ,80.17 ,119.47 ,123.98 ,96.42 ,108.77 ,91.63 ,103.89 ,98.06 ,114.49 ,103.29 ,128.85 
1975-11-28,134.64 ,80.10 ,120.56 ,123.95 ,96.59 ,110.55 ,90.69 ,103.22 ,98.62 ,121.39 ,115.75 ,129.83 
1975-12-31,133.78 ,84.63 ,124.58 ,125.38 ,97.63 ,110.97 ,90.60 ,103.65 ,98.06 ,113.37 ,121.53 ,136.73 
1976-01-30,127.69 ,89.91 ,130.62 ,122.39 ,97.45 ,109.12 ,90.83 ,103.21 ,98.51 ,117.28 ,119.65 ,130.67 
1976-02-27,124.72 ,92.02 ,132.92 ,124.76 ,99.46 ,111.65 ,90.55 ,103.28 ,98.96 ,116.05 ,114.08 ,129.23 
1976-03-31,120.39 ,94.93 ,140.23 ,125.24 ,100.80 ,112.69 ,90.86 ,103.46 ,98.54 ,113.37 ,123.94 ,144.85 
1976-04-30,126.88 ,94.05 ,138.56 ,125.78 ,101.60 ,114.07 ,90.46 ,104.66 ,98.51 ,109.29 ,133.99 ,151.42 
1976-05-31,126.10 ,93.06 ,134.96 ,124.29 ,101.25 ,114.27 ,89.17 ,107.55 ,97.84 ,115.90 ,135.03 ,152.36 
1976-06-30,124.76 ,92.84 ,135.21 ,126.33 ,98.97 ,114.00 ,89.25 ,107.19 ,98.38 ,117.94 ,131.65 ,143.17 
1976-07-30,126.85 ,93.23 ,135.83 ,125.65 ,98.44 ,113.63 ,90.30 ,107.45 ,97.83 ,119.66 ,131.81 ,145.53 
1976-08-31,124.01 ,94.40 ,137.37 ,124.84 ,100.00 ,116.13 ,90.52 ,107.06 ,97.41 ,126.79 ,147.70 ,164.85 
1976-09-30,123.67 ,93.14 ,141.59 ,126.35 ,100.87 ,117.78 ,91.90 ,109.85 ,97.33 ,117.35 ,165.67 ,186.31 
1976-10-29,120.98 ,95.00 ,145.98 ,128.16 ,102.67 ,117.47 ,92.15 ,110.66 ,97.61 ,115.33 ,184.96 ,194.02 
1976-11-30,125.33 ,93.44 ,150.17 ,129.80 ,104.36 ,118.33 ,97.58 ,110.78 ,100.27 ,118.68 ,187.62 ,198.97 
1976-12-31,125.49 ,96.15 ,144.93 ,134.13 ,102.45 ,115.95 ,96.56 ,109.95 ,100.70 ,117.94 ,198.02 ,219.24 
1977-01-31,130.58 ,96.25 ,144.92 ,127.88 ,104.06 ,117.97 ,96.29 ,107.37 ,101.39 ,111.46 ,206.96 ,224.47 
1977-02-28,134.20 ,94.74 ,143.39 ,127.21 ,103.88 ,118.84 ,97.15 ,108.20 ,101.86 ,102.49 ,230.55 ,234.72 
1977-03-31,142.85 ,99.06 ,146.25 ,127.17 ,105.43 ,121.55 ,97.33 ,108.28 ,101.63 ,107.43 ,242.28 ,234.33 
1977-04-29,146.35 ,103.07 ,151.45 ,128.50 ,106.10 ,124.11 ,97.37 ,108.86 ,101.52 ,107.86 ,249.95 ,227.25 
1977-05-31,141.84 ,103.45 ,150.24 ,125.65 ,107.30 ,123.86 ,97.17 ,108.36 ,101.54 ,99.27 ,266.75 ,232.48 
1977-06-30,141.95 ,102.72 ,154.21 ,126.45 ,107.98 ,123.59 ,97.24 ,108.58 ,101.53 ,105.23 ,245.66 ,221.47 
1977-07-29,144.72 ,106.66 ,162.61 ,126.58 ,109.88 ,125.82 ,97.64 ,109.02 ,101.89 ,108.50 ,236.78 ,213.84 
1977-08-31,137.18 ,107.85 ,157.36 ,127.43 ,110.91 ,129.07 ,97.65 ,108.71 ,101.16 ,115.74 ,230.85 ,216.48 
1977-09-30,139.66 ,111.68 ,163.48 ,127.32 ,110.02 ,131.32 ,97.42 ,108.03 ,100.89 ,118.41 ,226.07 ,213.30 
1977-10-31,141.08 ,112.99 ,166.79 ,126.87 ,111.20 ,133.21 ,98.84 ,110.17 ,99.58 ,118.24 ,228.27 ,214.95 
1977-11-30,143.54 ,116.77 ,171.90 ,126.28 ,110.29 ,131.85 ,98.48 ,108.87 ,99.30 ,118.91 ,232.84 ,218.28 
1977-12-30,146.85 ,114.18 ,166.11 ,125.69 ,111.56 ,134.01 ,99.33 ,110.10 ,98.87 ,120.37 ,242.14 ,230.27 
1978-01-31,142.04 ,112.45 ,167.74 ,123.53 ,111.50 ,134.37 ,99.20 ,110.39 ,98.87 ,123.43 ,248.09 ,238.84 
1978-02-28,139.22 ,111.64 ,165.36 ,123.88 ,112.21 ,133.33 ,99.89 ,111.28 ,96.88 ,119.39 ,262.92 ,250.85 
1978-03-31,132.04 ,113.90 ,160.26 ,125.43 ,112.42 ,134.79 ,98.76 ,111.40 ,97.87 ,113.93 ,259.98 ,264.19 
1978-04-28,131.78 ,111.41 ,163.37 ,123.59 ,111.11 ,134.26 ,98.99 ,109.40 ,98.45 ,118.81 ,264.49 ,265.54 
1978-05-31,133.79 ,112.98 ,159.91 ,124.21 ,111.95 ,132.41 ,98.57 ,108.96 ,97.86 ,119.05 ,268.52 ,272.39 
1978-06-30,124.96 ,118.64 ,164.55 ,122.96 ,111.79 ,133.21 ,98.37 ,111.08 ,96.68 ,115.76 ,272.48 ,278.34 
1978-07-31,125.82 ,120.76 ,162.99 ,123.29 ,107.83 ,137.62 ,97.10 ,114.13 ,95.20 ,112.92 ,296.29 ,268.11 
1978-08-31,125.29 ,123.03 ,162.89 ,123.22 ,107.85 ,136.49 ,97.25 ,115.94 ,94.23 ,111.12 ,293.23 ,285.44 
1978-09-29,120.96 ,121.64 ,152.51 ,123.39 ,107.06 ,136.51 ,96.87 ,117.37 ,93.45 ,115.06 ,293.24 ,280.67 
1978-10-31,112.96 ,127.34 ,152.52 ,123.43 ,105.68 ,134.70 ,98.62 ,119.29 ,92.83 ,116.84 ,284.53 ,294.88 
1978-11-30,120.49 ,116.29 ,153.11 ,124.18 ,104.74 ,134.08 ,101.15 ,112.71 ,95.43 ,115.60 ,299.42 ,290.10 
1978-12-29,119.53 ,118.31 ,153.95 ,121.15 ,108.30 ,139.19 ,101.04 ,115.28 ,94.81 ,111.59 ,305.69 ,285.35 
1979-01-31,120.27 ,119.09 ,155.23 ,123.83 ,108.67 ,141.87 ,102.59 ,113.68 ,96.24 ,111.92 ,307.42 ,286.07 
1979-02-28,124.72 ,113.56 ,153.55 ,125.83 ,108.21 ,143.91 ,103.00 ,113.44 ,96.60 ,106.61 ,324.50 ,290.92 
1979-03-30,129.86 ,112.13 ,150.39 ,129.38 ,106.85 ,144.47 ,105.04 ,111.61 ,98.97 ,106.52 ,321.08 ,287.96 
1979-04-30,130.38 ,116.98 ,151.00 ,130.39 ,107.18 ,143.10 ,107.58 ,110.66 ,101.84 ,103.17 ,326.40 ,303.27 
1979-05-31,127.76 ,121.75 ,147.48 ,128.10 ,105.71 ,141.69 ,107.67 ,110.86 ,101.87 ,107.39 ,324.94 ,303.19 
1979-06-29,125.53 ,126.08 ,148.04 ,127.06 ,102.94 ,141.69 ,107.22 ,112.08 ,101.56 ,111.86 ,323.44 ,296.49 
1979-07-31,123.42 ,127.17 ,144.91 ,128.73 ,101.31 ,145.00 ,107.98 ,113.13 ,102.89 ,115.47 ,334.72 ,305.40 
1979-08-31,124.42 ,135.49 ,140.38 ,129.56 ,100.34 ,145.99 ,108.14 ,114.26 ,103.18 ,116.24 ,354.11 ,321.92 
